name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),listed_in(city),cuisines
Tasty Bytes,Yes,No,3.1/5,245,300,Dining, ('Rated 5.0',"North Indian, Continental, Italian"
Petoo,No,No,3.7/5,21,450,Dining,Banashankari,"North Indian, Chinese"
Shree Cool Point,Yes,No,4.1/5,28,150,Dining,Banashankari,"North Indian, Chinese, Biryani, Rolls"
Corner House Ice Cream,No,No,4.3/5,345,400,Dining,Banashankari,"Chinese, Thai"
Biryanis Wala,Yes,No,4.0/5,618,750,Dining,Banashankari,"North Indian, Chinese, Momos, Rolls"
Roving Feast,No,No,4.0/5,1047,450,Dining,Banashankari,North Indian
FreshMenu,Yes,No,3.9/5,627,450,Dining,Banashankari,"Fast Food, Street Food, Beverages"
Banashankari Donne Biriyani,Yes,No,3.8/5,104,300,Dining,Banashankari,"Ice Cream, Desserts"
Wamama,Yes,Yes,4.2/5,354,800,other,Banashankari,"Biryani, North Indian, Chinese, Andhra, South Indian"
Five Star Chicken,No,No,3.6/5,55,200,Dining,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos"
XO Belgian Waffle,Yes,No,3.7/5,17,400,Dining,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
Peppy Peppers,No,No,4.2/5,244,800,other,Banashankari,"Biryani, Fast Food"
Goa 0 Km,Yes,Yes,3.6/5,163,800,Dining,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos"
Chinese Kitchen,Yes,No,3.8/5,58,150,Dining,, ('Rated 5.0'
Jeet Restaurant,No,Yes,4.0/5,808,850,Dining,their must try would be the sushi,"Fast Food, Burger"
Cake of the Day,No,No,3.7/5,78,150,Dining,Banashankari,"Desserts, Beverages"
Kabab Magic,Yes,No,4.1/5,1720,400,Dining,Banashankari,"Italian, North Indian, Mexican"
Namma Brahmin's Idli,Yes,No,3.6/5,34,100,Dining,, ('Rated 3.0'
Gustoes Beer House,No,No,4.1/5,868,700,Dining, super large fries and Taiwanese baby corn for starters. The cheese balls were pretty good but they had given chili mayo as accompaniment which was just mayo mixed with chilli powder,"Goan, Seafood, North Indian, Chinese, Biryani"
Sugar Rush,No,No,3.8/5,39,300,Dining,Banashankari,Chinese
Burger King,Yes,No,3.2/5,71,600,Dining,Banashankari,"North Indian, Chinese"
The Good Bowl,Yes,No,3.6/5,6,500,Dining,Banashankari,Bakery
The Biryani Cafe,No,No,4.1/5,520,300,Dining,Banashankari,"North Indian, Kebab, Chinese, Fast Food"
Spicy Tandoor,No,No,4.1/5,0,150,Dining,Banashankari,South Indian
LSD Cafe,No,No,2.9/5,84,700,other,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak"
Rolls On Wheels,No,No,3.6/5,299,300,Dining,Banashankari,"Bakery, Desserts"
Om Sri Vinayaka Chats,No,No,3.6/5,0,500,Dining,Banashankari,"Burger, Fast Food, Beverages"
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,150,Dining,Banashankari,"Italian, North Indian, Biryani"
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,300,Dining,Banashankari,"Biryani, Chinese, Kebab"
Kolbeh,No,No,3.7/5,22,500,Dining,Banashankari,North Indian
Upahar Sagar,No,No,3.8/5,39,350,Dining,Banashankari,"Chinese, Continental, Italian, North Indian"
Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,500,Dining,, well-cooked and packaged  \nFriendly delivery guys 
Frozen Bottle,Yes,No,4.2/5,146,400,Dining, ('Rated 4.0',"Fast Food, Rolls, Momos"
Parimala Sweets,No,No,3.5/5,14,200,Dining,Banashankari,"Street Food, Fast Food"
Vaishali Deluxe,No,No,3.8/5,42,700,Dining,Banashankari,South Indian
Chill Out,No,No,3.8/5,0,100,Dining,Banashankari,"Biryani, South Indian"
The Big O Bakes,No,No,4.0/5,66,300,Dining,Banashankari,Fast Food
Meghana Foods,Yes,No,4.4/5,4401,600,Dining,Banashankari,"South Indian, Chinese, North Indian"
Krishna Sagar,No,No,3.5/5,31,200,Dining,Banashankari,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab"
Dessert Rose,No,No,3.5/5,7,500,Dining,Banashankari,"Beverages, Desserts, Ice Cream"
Chickpet Donne Biryani House,No,No,3.7/5,21,250,Dining,Banashankari,"Mithai, Street Food"
Me And My Cake,No,No,3.7/5,0,500,Dining,Banashankari,"North Indian, Chinese"
Sunsadm,No,No,3.7/5,0,400,Dining,Banashankari,"South Indian, Chinese"
Annapooraneshwari Mess,No,No,3.7/5,0,200,Dining,Banashankari,"Bakery, Desserts"
Thanco's Natural Ice Creams,No,No,3.2/5,9,300,Dining,Banashankari,"Biryani, North Indian, Chinese"
Nandhini Deluxe,No,No,2.6/5,283,600,Dining,Banashankari,North Indian
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,800,Dining,Banashankari,Desserts
Kaggis,No,No,3.8/5,64,250,Dining,Banashankari,Biryani
Ayda Persian Kitchen,No,No,3.7/5,39,950,Dining,Banashankari,"Bakery, Desserts"
Chatar Patar,No,No,3.7/5,65,300,Dining,Banashankari,South Indian
Polar Bear,Yes,No,3.8/5,71,400,Dining,Banashankari,South Indian
Kidambi's Kitchen,No,No,3.5/5,52,300,Dining,Banashankari,Ice Cream
Mane Thindi,No,No,3.7/5,130,200,Dining,Banashankari,North Indian
Kotian Karavali Restaurant,No,No,3.5/5,10,300,Dining,Banashankari,"South Indian, North Indian, Chinese"
Floured-Baked With Love,No,No,3.8 /5,45,400,Dining,Banashankari,"Fast Food, Bakery"
CAFE NOVA,No,No,3.2/5,11,600,Dining,Banashankari,"North Indian, Iranian"
Cakes & Slices,No,No,3.5/5,13,300,Dining,Banashankari,"Fast Food, Street Food"
Spice 9,No,No,3.4/5,8,300,Dining,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich"
Coffee Shopee,No,No,3.4/5,0,250,Dining,Banashankari,South Indian
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining,Banashankari,South Indian
Katriguppe Donne Biryani,No,No,3.2/5,4,300,Dining,Banashankari,"South Indian, Biryani"
Hari Super Sandwich,No,No,3.2/5,0,200,Dining,Banashankari,Bakery
Atithi Point Ande Ka Funda,No,No,3.1/5,29,150,Dining,Banashankari,"Cafe, Bakery"
Just Bake,No,No,3.4/5,8,400,Dining,Banashankari,"Bakery, Desserts"
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0,150,Dining,Banashankari,"Biryani, North Indian, Chinese, Fast Food"
Cake Bite,No,No,3.4/5,0,300,Dining,Banashankari,Beverages
Aarush's Food Plaza,No,No,3.4/5,0,200,Dining,Banashankari,Biryani
Wood Stove,No,No,3.4/5,0,150,Dining,Banashankari,North Indian
Kulfi & More,No,No,3.4/5,0,150,Dining,Banashankari,"Sandwich, Pizza, Beverages"
Kannadigas Karavali,No,No,3.4/5,0,250,Dining,Banashankari,North Indian
K27 - The Pub,No,No,3.1/5,30,900,Dining,Banashankari,"Bakery, Desserts"
Bengaluru Coffee House,Yes,No,4.1/5,201,300,Dining,Banashankari,Mithai
New Mangalore Lunch Home,No,No,3.3/5,7,200,Dining,Banashankari,Bakery
Coffee Bytes,No,No,3.1/5,6,100,Dining,Banashankari,"North Indian, Street Food"
Parjanya Chat Zone,No,No,3.3/5,17,200,Dining,Banashankari,South Indian
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,200,Dining,Banashankari,"Ice Cream, Desserts, Juices"
Soms Kitchen & Bakes,No,No,2.9/5,0,400,Dining,Banashankari,"Mangalorean, South Indian, North Indian"
Banashankari Nati Style,No,No,2.9/5,0,350,Dining,Banashankari,"Chinese, North Indian"
Ruchi Maayaka,No,No,3.3/5,8,100,Dining,Banashankari,"South Indian, North Indian, Chinese, Street Food"
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining,Banashankari,"Mangalorean, South Indian, North Indian"
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining,Banashankari,"Fast Food, South Indian"
Roll Magic Fast Food,No,No,3.4/5,0,200,Dining,Banashankari,"Street Food, Fast Food"
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining,Banashankari,"Ice Cream, Desserts"
Thanishka Nati And Karavali Style,No,No,3.1/5,0,400,Dining,Banashankari,"South Indian, North Indian, Continental"
Swathi Cool Point,No,No,4.1/5,0,200,Dining,Banashankari,"Biryani, Chinese, South Indian, North Indian"
Kaumudis Juoice,No,No,3.3/5,0,150,Dining,Banashankari,South Indian
Amma - Manae,No,No,3.1/5,0,400,Dining,Banashankari,"Rolls, North Indian"
Sri Sai Tiffannies,No,No,3.3/5,0,150,Dining,Banashankari,South Indian
Hotel Andhra Speices,No,No,2.9/5,0,250,Dining,Banashankari,"Biryani, Rolls, Chinese"
Sri Murari Family Restaurant,No,No,2.9/5,0,250,Dining,Banashankari,North Indian
Aramane Donne Biriyani,No,No,2.9/5,0,150,Dining,Banashankari,"Biryani, Fast Food"
Darkolates,No,No,3.3/5,0,200,Dining,Banashankari,"Beverages, Juices"
Swaada Healthy Kitchen,No,No,3.3/5,0,350,Dining,Banashankari,"Beverages, Fast Food, Juices"
Gawdaru Mane Beriyani,No,No,3.3/5,0,300,Dining,Banashankari,South Indian
Melting Melodies,No,No,3.3/5,0,100,Dining,Banashankari,"South Indian, Chinese"
New Indraprasta,No,No,3.3/5,0,150,Dining,Banashankari,Andhra
Anna Kuteera,Yes,No,4.0/5,771,450,Dining,Banashankari,Biryani
Darbar,No,No,3.0/5,98,800,Dining,Banashankari,"South Indian, Biryani"
Vijayalakshmi,Yes,No,3.9/5,47,200,Dining,Banashankari,Desserts
Aramane Donne Biriyani,No,No,,0,150,Delivery,Banashankari,"Healthy Food, Juices, Sandwich"
Darkolates,No,No,,0,200,Delivery,Banashankari,"South Indian, Biryani"
Swaada Healthy Kitchen,No,No,,0,350,Delivery,Banashankari,"Pizza, Fast Food"
Gawdaru Mane Beriyani,No,No,,0,300,Delivery,Banashankari,"South Indian, Beverages"
Melting Melodies,No,No,NEW,0,100,Delivery,Banashankari,"South Indian, North Indian, Chinese"
New Indraprasta,No,No,NEW,0,150,Delivery,Banashankari,"North Indian, Chinese"
Anna Kuteera,Yes,No,4.0/5,771,450,Delivery,Banashankari,South Indian
Darbar,No,No,3.0/5,98,800,Delivery,Banashankari,"South Indian, North Indian, Chinese, Beverages"
Vijayalakshmi,Yes,No,3.9/5,47,200,Delivery,Banashankari,"South Indian, Chinese, North Indian, Juices"
Sri Udupi Food Hub,Yes,Yes,4.1/5,175,500,Delivery,Banashankari,"North Indian, Kebab, Biryani, Chinese"
Udupi Upahar,Yes,No,3.8/5,58,300,Delivery,Banashankari,"Chinese, North Indian, Mughlai, Rolls"
House Of Kebabs,Yes,No,3.8/5,540,650,Delivery,Banashankari,"North Indian, Mughlai, Fast Food"
Roll N Rock,Yes,No,3.8/5,124,400,Delivery,Banashankari,"Burger, Fast Food"
BOX8- Desi Meals,Yes,No,4.1/5,340,500,Delivery,Banashankari,Fast Food
KFC,Yes,No,3.8/5,505,450,Delivery,Banashankari,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
Bitez,No,No,NEW,0,100,Delivery,Banashankari,"North Indian, Chinese, Biryani, Beverages"
Roll Over,Yes,No,4.1/5,438,500,Delivery,Banashankari,"Beverages, Juices, Ice Cream"
Imperial Restaurant,Yes,No,3.7/5,264,750,Delivery,Banashankari,"North Indian, Chinese"
Lassi Shop,Yes,No,3.9/5,169,150,Delivery,Banashankari,"North Indian, Mughlai, Chinese"
The Fortuna,Yes,No,3.0/5,67,250,Delivery,Banashankari,Biryani
Wahab,Yes,No,3.7/5,97,350,Delivery,Banashankari,Biryani
Al Diwan Biryanis And More,Yes,No,3.3/5,12,300,Delivery,Banashankari,"Chinese, Seafood, Biryani"
New Gowda's Fried Chicken,Yes,No,3.3/5,12,300,Delivery,Banashankari,"Desserts, Mithai"
Canton,Yes,No,3.6/5,195,800,Delivery,Banashankari,"Cafe, Beverages"
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,13,300,Delivery,Banashankari,"South Indian, Chinese"
The Blue Wagon - Kitchen,Yes,No,4.6/5,228,400,Delivery,Banashankari,"Thai, Vietnamese, Asian, Chinese"
HOT COFFEE,Yes,No,4.1/5,70,150,Delivery,Banashankari,"Beverages, Ice Cream"
Patio 805,Yes,Yes,4.1/5,364,"1,200",Delivery,Banashankari,"South Indian, North Indian, Chinese, Juices"
Lassi Corner,Yes,No,3.7/5,107,150,Delivery,Banashankari,"Mithai, Street Food"
Sagar Deluxe,Yes,No,3.2/5,167,300,Delivery,Banashankari,"Italian, Pizza"
Kanti Sweets,Yes,No,4.0/5,115,400,Delivery,Banashankari,Biryani
Vegetalia,Yes,No,3.7/5,27,400,Delivery,Banashankari,"North Indian, Fast Food, Rolls"
Aramane Donne Biryani,Yes,No,3.5/5,57,200,Delivery,Banashankari,Bakery
Ande Ka Funda,Yes,No,3.8/5,120,250,Delivery,Banashankari,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza"
Cake Ghar,Yes,No,3.8/5,15,400,Delivery,Banashankari,South Indian
Energy Addaa,Yes,No,4.2/5,64,500,Delivery,Banashankari,"North Indian, Chinese, Biryani, Kebab"
Bhattara Bhojana,Yes,No,3.6/5,66,150,Delivery,Banashankari,Street Food
Tandoori Knight,Yes,No,3.0/5,290,450,Delivery,Banashankari,"Fast Food, Pizza"
Dev Sagar - Food Street,Yes,No,4.1/5,233,200,Delivery,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian"
Mitraa Da Pizza,Yes,No,3.8/5,115,250,Delivery,Banashankari,"Cafe, Burger, Continental, Italian, Desserts"
Paradise Premium,Yes,No,3.1/5,119,700,Delivery,Banashankari,"Beverages, Sandwich"
Grazers,Yes,Yes,3.9/5,291,650,Delivery,Banashankari,Italian
Shakes Theory,Yes,No,4.5/5,155,300,Delivery,Banashankari,"Fast Food, Italian, Beverages"
@Italy,Yes,No,4.1/5,305,700,Delivery,Banashankari,"Bengali, Chinese, Sandwich"
Chilli Flakes,Yes,No,3.6/5,46,500,Delivery,Banashankari,Ice Cream
Calcutta Cafe,Yes,No,3.5/5,45,350,Delivery,Banashankari,"South Indian, North Indian, Chinese, Biryani"
Old Mumbai Ice Cream,Yes,No,3.9/5,38,150,Delivery,Banashankari,South Indian
Donne Biriyani House,Yes,No,3.9/5,441,400,Delivery,Banashankari,"North Indian, Street Food, Juices"
By 2 Coffee,Yes,No,3.9/5,25,100,Delivery,Banashankari,South Indian
Kedia's Fun Food,Yes,No,4.3/5,630,200,Delivery,Banashankari,Arabian
Davangere Butter Dosa Hotel,Yes,No,3.8/5,25,150,Delivery,Banashankari,North Indian
Just Shawarma,Yes,No,3.9/5,160,300,Delivery,Banashankari,South Indian
Mini Punjabi Dhaba,Yes,No,4.2/5,287,350,Delivery,Banashankari,North Indian
